Date;Open;High;Low;Close;Adj Close;Volume
05.12.2022;189.440002;191.270004;180.550003;182.449997;182.449997;93122700
06.12.2022;181.220001;183.649994;175.330002;179.820007;179.820007;92150800
07.12.2022;175.029999;179.380005;172.220001;174.039993;174.039993;84213300
08.12.2022;172.199997;175.199997;169.059998;173.440002;173.440002;97624500
09.12.2022;173.839996;182.500000;173.360001;179.050003;179.050003;104872300
12.12.2022;176.100006;177.369995;167.520004;167.820007;167.820007;109794500
13.12.2022;174.869995;175.050003;156.910004;160.949997;160.949997;175862700
14.12.2022;159.250000;161.619995;155.309998;156.800003;156.800003;140682300
15.12.2022;153.440002;160.929993;153.279999;157.669998;157.669998;122334500
16.12.2022;159.639999;160.990005;150.039993;150.229996;150.229996;139032200
19.12.2022;154.000000;155.250000;145.820007;149.869995;149.869995;139390600
20.12.2022;146.050003;148.470001;137.660004;137.800003;137.800003;159563300
21.12.2022;139.339996;141.259995;135.889999;137.570007;137.570007;145417400
22.12.2022;136.000000;136.630005;122.260002;125.349998;125.349998;210090300
23.12.2022;126.370003;128.619995;121.019997;123.150002;123.150002;166989700
27.12.2022;117.500000;119.669998;108.760002;109.099998;109.099998;208643400
28.12.2022;110.349998;116.269997;108.239998;112.709999;112.709999;221070500
29.12.2022;120.389999;123.570000;117.500000;121.820000;121.820000;221923300
30.12.2022;119.949997;124.480003;119.750000;123.180000;123.180000;157777300
